
2016-05-16 08:34:35,091 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu]
2016-05-16 08:34:35,097 p=5891 u=ivo |  changed: [192.168.140.86]
2016-05-16 08:34:35,105 p=5891 u=ivo |  changed: [192.168.140.84]
2016-05-16 08:34:35,128 p=5891 u=ivo |  changed: [issdm-6]
2016-05-16 08:34:35,201 p=5891 u=ivo |  changed: [147.75.201.115]
2016-05-16 08:34:36,280 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us]
2016-05-16 08:34:36,286 p=5891 u=ivo |  TASK [pull images] *************************************************************
2016-05-16 08:34:37,882 p=5891 u=ivo |  changed: [issdm-6] => (item=bigwxwrf/geog)
2016-05-16 08:34:37,938 p=5891 u=ivo |  changed: [192.168.140.84] => (item=bigwxwrf/geog)
2016-05-16 08:34:38,096 p=5891 u=ivo |  changed: [147.75.201.115] => (item=bigwxwrf/geog)
2016-05-16 08:34:38,697 p=5891 u=ivo |  changed: [192.168.140.86] => (item=bigwxwrf/geog)
2016-05-16 08:34:38,847 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us] => (item=bigwxwrf/geog)
2016-05-16 08:34:38,851 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=bigwxwrf/geog)
2016-05-16 08:34:39,382 p=5891 u=ivo |  changed: [issdm-6] => (item=bigwxwrf/sandy)
2016-05-16 08:34:39,462 p=5891 u=ivo |  changed: [192.168.140.84] => (item=bigwxwrf/sandy)
2016-05-16 08:34:39,737 p=5891 u=ivo |  changed: [147.75.201.115] => (item=bigwxwrf/sandy)
2016-05-16 08:34:40,304 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=bigwxwrf/geog)
2016-05-16 08:34:40,395 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=bigwxwrf/sandy)
2016-05-16 08:34:40,497 p=5891 u=ivo |  changed: [192.168.140.86] => (item=bigwxwrf/sandy)
2016-05-16 08:34:40,937 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us] => (item=bigwxwrf/sandy)
2016-05-16 08:34:41,027 p=5891 u=ivo |  changed: [issdm-6] => (item=ivotron/ncarwrf)
2016-05-16 08:34:41,084 p=5891 u=ivo |  changed: [192.168.140.84] => (item=ivotron/ncarwrf)
2016-05-16 08:34:41,572 p=5891 u=ivo |  changed: [147.75.201.115] => (item=ivotron/ncarwrf)
2016-05-16 08:34:41,675 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=bigwxwrf/sandy)
2016-05-16 08:34:41,999 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=ivotron/ncarwrf)
2016-05-16 08:34:43,104 p=5891 u=ivo |  changed: [pc-c220m4-r04-02.wisc.cloudlab.us] => (item=ivotron/ncarwrf)
2016-05-16 08:34:43,162 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=ivotron/ncarwrf)
2016-05-16 08:34:44,610 p=5891 u=ivo |  changed: [192.168.140.86] => (item=ivotron/ncarwrf)
2016-05-16 08:34:44,619 p=5891 u=ivo |  TASK [remove previous containers] **********************************************
2016-05-16 08:34:44,952 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=bigwxwrf/geog)
2016-05-16 08:34:44,979 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=bigwxwrf/geog)
2016-05-16 08:34:44,990 p=5891 u=ivo |  changed: [192.168.140.86] => (item=bigwxwrf/geog)
2016-05-16 08:34:45,009 p=5891 u=ivo |  changed: [192.168.140.84] => (item=bigwxwrf/geog)
2016-05-16 08:34:45,021 p=5891 u=ivo |  changed: [issdm-6] => (item=bigwxwrf/geog)
2016-05-16 08:34:45,234 p=5891 u=ivo |  changed: [nibbler.soe.ucsc.edu] => (item=bigwxwrf/sandy)
2016-05-16 08:34:45,247 p=5891 u=ivo |  changed: [147.75.201.115] => (item=bigwxwrf/geog)
2016-05-16 08:34:45,251 p=5891 u=ivo |  changed: [dwill.soe.ucsc.edu] => (item=bigwxwrf/sandy)
